trip_distance,tip_amount,fare_amount,total_amount,passenger_count,start_hour,start_day,start_weekday,start_month,trip_duration_minutes
3.57,5.56,15.0,24.11,1.0,8,1,Thursday,7,18.783333333333335
0.0,0.0,16.2,17.0,1.0,8,1,Thursday,7,24.0
1.4,1.75,8.0,10.55,1.0,8,1,Thursday,7,9.316666666666666
0.0,0.0,11.0,11.8,1.0,8,1,Thursday,7,17.45
5.07,0.0,19.0,19.8,2.0,8,1,Thursday,7,21.633333333333333
1.4,1.95,7.0,9.75,2.0,8,1,Thursday,7,7.05
1.78,3.46,8.0,15.01,1.0,8,1,Thursday,7,8.883333333333333
2.34,0.0,10.5,11.3,1.0,8,1,Thursday,7,12.233333333333333
1.73,1.0,9.5,11.3,1.0,8,1,Thursday,7,11.216666666666667
2.56,2.66,12.5,15.96,2.0,8,1,Thursday,7,16.183333333333334
5.6,5.76,19.5,28.81,1.0,8,1,Thursday,7,19.566666666666666
1.71,0.0,9.5,10.3,1.0,8,1,Thursday,7,12.016666666666667
2.41,2.71,10.0,16.26,1.0,9,1,Thursday,7,10.616666666666667
0.0,0.0,5.0,5.3,1.0,8,1,Thursday,7,0.06666666666666667
3.8,2.45,17.0,23.0,1.0,8,1,Thursday,7,24.866666666666667
3.07,1.0,12.5,17.05,1.0,8,1,Thursday,7,15.166666666666666
2.47,0.0,11.0,11.8,5.0,8,1,Thursday,7,12.616666666666667
8.81,0.0,41.0,41.8,1.0,8,1,Thursday,7,61.483333333333334
0.0,0.0,22.2,23.0,1.0,8,1,Thursday,7,23.716666666666665
1.29,2.32,8.5,11.62,1.0,8,1,Thursday,7,10.833333333333334
1.1,2.08,7.5,10.38,1.0,8,1,Thursday,7,7.883333333333334
0.99,0.0,6.0,9.55,1.0,8,1,Thursday,7,5.666666666666667
1.1,0.0,6.5,7.3,1.0,8,1,Thursday,7,6.333333333333333
7.77,4.78,24.5,36.63,1.0,8,1,Thursday,7,20.2
0.81,0.0,5.5,6.3,1.0,8,1,Thursday,7,5.233333333333333
2.39,2.36,11.0,14.16,1.0,8,1,Thursday,7,12.816666666666666
8.33,0.0,27.5,31.05,1.0,8,1,Thursday,7,28.4
1.1,0.08,6.0,9.63,1.0,8,1,Thursday,7,5.633333333333334
1.14,2.01,6.5,12.06,1.0,8,1,Thursday,7,6.166666666666667
0.91,2.41,8.5,14.46,1.0,8,1,Thursday,7,10.916666666666666
5.08,3.0,18.5,25.05,1.0,8,1,Thursday,7,18.55
1.26,2.11,7.0,12.66,1.0,8,1,Thursday,7,7.483333333333333
5.97,0.0,20.5,21.3,1.0,8,1,Thursday,7,18.85
1.21,0.0,6.0,6.8,1.0,8,1,Thursday,7,4.583333333333333
0.72,0.0,4.5,8.05,1.0,8,1,Thursday,7,2.65
0.0,0.0,36.2,43.55,1.0,8,1,Thursday,7,52.916666666666664
2.83,1.66,13.0,15.46,2.0,8,1,Thursday,7,16.333333333333332
1.44,1.7,8.5,11.0,5.0,8,1,Thursday,7,10.566666666666666
1.09,0.0,8.0,8.8,3.0,8,1,Thursday,7,9.933333333333334
4.6,2.0,16.5,19.3,1.0,8,1,Thursday,7,17.4
8.0,0.0,30.0,33.55,1.0,8,1,Thursday,7,32.53333333333333
3.35,3.31,13.0,19.86,1.0,8,1,Thursday,7,15.05
3.7,0.0,13.0,13.8,1.0,8,1,Thursday,7,10.966666666666667
1.76,1.96,9.0,11.76,1.0,8,1,Thursday,7,10.0
1.8,1.2,7.5,9.5,1.0,8,1,Thursday,7,6.75
6.7,5.65,21.0,34.0,1.0,8,1,Thursday,7,15.0
1.3,1.55,7.0,9.35,1.0,8,1,Thursday,7,7.683333333333334
0.0,13.0,13.0,26.3,1.0,8,1,Thursday,7,0.03333333333333333
0.01,0.0,2.5,3.3,1.0,8,1,Thursday,7,0.08333333333333333
2.1,0.0,11.0,11.8,1.0,8,1,Thursday,7,13.733333333333333
0.4,0.0,4.0,4.8,1.0,8,1,Thursday,7,2.933333333333333
15.06,0.0,80.0,80.8,1.0,8,1,Thursday,7,109.93333333333334
5.3,2.5,19.5,25.55,1.0,8,1,Thursday,7,21.3
5.8,2.0,19.0,21.8,1.0,8,1,Thursday,7,13.433333333333334
14.25,0.0,42.0,42.8,1.0,8,1,Thursday,7,34.55
1.97,0.0,10.0,13.55,1.0,8,1,Thursday,7,12.033333333333333
